# This file contains the list of genes (nodes) in the gene regulatory network
# of Homo sapiens.
# 
# The original network was built using the information available from
# 
# Gerstein MB, Kundaje A, Hariharan M, Landt SG, Yan KK, Cheng C, et al.
# Architecture of the human regulatory network derived from ENCODE data.
# Nature. 2012;489(7414):91–100. doi:10.1038/nature11245.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
LRPPRC	46	0	Readout_terminal
LPP	46	0	Readout_terminal
LPHN1	46	0	Readout_terminal
KDM5B	46	0	Readout_terminal
HS2ST1	46	0	Readout_terminal
GTPBP2	46	0	Readout_terminal
GABRB2	46	0	Readout_terminal
FLRT2	46	0	Readout_terminal
EIF4G2	46	0	Readout_terminal
CHD9	46	0	Readout_terminal
ZNF280B	45	0	Readout_terminal
ZBTB38	45	0	Readout_terminal
YTHDC1	45	0	Readout_terminal
XPO4	45	0	Readout_terminal
WDR74	45	0	Readout_terminal
TLK2	45	0	Readout_terminal
STK4	45	0	Readout_terminal
RCOR1	45	0	Readout_terminal
RAB5B	45	0	Readout_terminal
PMEPA1	45	0	Readout_terminal
PHF17	45	0	Readout_terminal
OPTN	45	0	Readout_terminal
NUP153	45	0	Readout_terminal
MTMR12	45	0	Readout_terminal
MAPK1IP1L	45	0	Readout_terminal
KDM5A	45	0	Readout_terminal
ITGAL	45	0	Readout_terminal
HAS3	45	0	Readout_terminal
GRIK3	45	0	Readout_terminal
GRIA4	45	0	Readout_terminal
DCBLD2	45	0	Readout_terminal
DCAF7	45	0	Readout_terminal
CPLX2	45	0	Readout_terminal
CALM1	45	0	Readout_terminal
C1ORF144	45	0	Readout_terminal
BHLHE41	45	0	Readout_terminal
BCL2L11	45	0	Readout_terminal
ABCA1	45	0	Readout_terminal
ZNF217	44	0	Readout_terminal
ZMIZ1	44	0	Readout_terminal
ZC3H7B	44	0	Readout_terminal
YOD1	44	0	Readout_terminal
WIPF2	44	0	Readout_terminal
TSC1	44	0	Readout_terminal
SPN	44	0	Readout_terminal
SP3	44	0	Readout_terminal
SGK1	44	0	Readout_terminal
SEPT11	44	0	Readout_terminal
SEMA3A	44	0	Readout_terminal
RTDR1	44	0	Readout_terminal
PSD3	44	0	Readout_terminal
ODZ4	44	0	Readout_terminal
NR2F2	44	0	Readout_terminal
NPTX1	44	0	Readout_terminal
LY86	44	0	Readout_terminal
LOC100130581	44	0	Readout_terminal
LMO3	44	0	Readout_terminal
LARP1	44	0	Readout_terminal
HIF1AN	44	0	Readout_terminal
GALNT7	44	0	Readout_terminal
GABBR2	44	0	Readout_terminal
G6PC	44	0	Readout_terminal
EPB41L1	44	0	Readout_terminal
CREBBP	44	0	Readout_terminal
CDK19	44	0	Readout_terminal
CA5A	44	0	Readout_terminal
C6ORF168	44	0	Readout_terminal
ATRN	44	0	Readout_terminal
ARL4C	44	0	Readout_terminal
ZIC1	43	0	Readout_terminal
ZFAND3	43	0	Readout_terminal
UNKL	43	0	Readout_terminal
STX5	43	0	Readout_terminal
