# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Drosophila melanogaster.
# 
# The original network was built using the information available from
# 
# Roy S, Ernst J, Kharchenko PV, Kheradpour P, Negre N, Eaton ML, et al.
# Identification of functional elements and regulatory circuits by Drosophila
# modENCODE. Science (New York, NY). 2010;330(6012):1787–97.
# doi:10.1126/science.1198374.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
Sry-beta	Dok	
Sry-beta	CG4692	
Sry-beta	fu	
Sry-beta	DNApol-alpha50	
Sry-beta	CG4699	
Sry-beta	fy	
Sry-beta	CG2807	
Sry-beta	CG15814	
Sry-beta	Arp8	
Sry-beta	CG15817	
Sry-beta	Cwc25	
Sry-beta	Mpp6	
Sry-beta	Lsm10	
Sry-beta	beta3GalTII	
Sry-beta	egg	
Sry-beta	CG1120	
Sry-beta	CG17385	
Sry-beta	Reps	
Sry-beta	SF2	
Sry-beta	SF1	
Sry-beta	Trf4-1	
Sry-beta	CG8417	
Sry-beta	Cbp20	
Sry-beta	CG8149	
Sry-beta	CG4747	
Sry-beta	14-3-3epsilon	
Sry-beta	okr	
Sry-beta	Fbxl4	
Sry-beta	CG11820	
Sry-beta	CG15220	
Sry-beta	yu	
Sry-beta	CG5808	
Sry-beta	polybromo	
Sry-beta	CG5800	
Sry-beta	CG17078	
Sry-beta	Aats-ile	
Sry-beta	Fip1	
Sry-beta	E(Pc)	
Sry-beta	CG14074	
Sry-beta	RpL7-like	
Sry-beta	CG6907	
Sry-beta	CG6905	
Sry-beta	Art3	
Sry-beta	CG3436	
Sry-beta	CG3430	
Sry-beta	Cdc6	
Sry-beta	CG31460	
Sry-beta	lola	
Sry-beta	eIF3-S8	
Sry-beta	eIF3-S9	
Sry-beta	flfl	
Sry-beta	OstStt3	
Sry-beta	e(y)3	
Sry-beta	e(y)1	
Sry-beta	Dbp45A	
Sry-beta	PDCD-5	
Sry-beta	CG18178	
Sry-beta	CG18177	
Sry-beta	atms	
Sry-beta	CG10703	
Sry-beta	CG10702	
Sry-beta	Srp54	
Sry-beta	por	
Sry-beta	EloA	
Sry-beta	put	
Sry-beta	CG3508	
Sry-beta	Sirt7	
Sry-beta	CG6876	
Sry-beta	wls	
Sry-beta	CG5590	
Sry-beta	Mcm10	
Sry-beta	CG31849	
Sry-beta	BubR1	
Sry-beta	CG2218	
Sry-beta	Actr13E	
Sry-beta	Traf6	
Sry-beta	spn-E	
Sry-beta	Oseg6	
Sry-beta	CG18004	
Sry-beta	CG18005	
Sry-beta	CG18003	
Sry-beta	CG12702	
Sry-beta	nct	
Sry-beta	CG7197	
Sry-beta	Taf12	
Sry-beta	Taf11	
Sry-beta	CG7192	
Sry-beta	Apc2	
Sry-beta	Pp4-19C	
Sry-beta	ncd	
Sry-beta	Spt3	
Sry-beta	CG2107	
Sry-beta	muskelin	
Sry-beta	CG14818	
Sry-beta	stc	
Sry-beta	l(3)05822	
Sry-beta	sti	
Sry-beta	CG14814	
Sry-beta	JhI-21	
Sry-beta	CG5376	
Sry-beta	CG7601	
Sry-beta	l(2)k01209	
Sry-beta	Upf3	
Sry-beta	lid	
Sry-beta	lig	
Sry-beta	lin	
Sry-beta	CG7044	
Sry-beta	Eaf6	
Sry-beta	Klp61F	
Sry-beta	CG7519	
Sry-beta	CG6066	
Sry-beta	mtacp1	
Sry-beta	rhi	
Sry-beta	Atu	
Sry-beta	cactin	
Sry-beta	l(1)G0007	
Sry-beta	pnut	
Sry-beta	Taf13	
Sry-beta	Cpsf160	
Sry-beta	Tip60	
Sry-beta	CG6241	
Sry-beta	nxf2	
Sry-beta	BCL7-like	
Sry-beta	CG11055	
Sry-beta	CG8950	
Sry-beta	ncm	
Sry-beta	CG4424	
Sry-beta	spd-2	
Sry-beta	Sra-1	
