# This file contains the list of genes (nodes) in the gene regulatory network
# of Saccharomyces cerevisiae.
# 
# The original network was built using the information available from
# 
# Teixeira MC, Monteiro PT, Guerreiro JF, Gonçalves JP, Mira NP, Dos Santos
# SC, et al. The YEASTRACT database: an upgraded information system for the
# analysis of gene and genomic transcription regulation in Saccharomyces
# cerevisiae.      Nucleic acids research. 2014;42(1):D161–6.
# doi:10.1093/nar/gkt1015.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
gdh1	76	0	Readout_terminal
aco1	76	0	Readout_terminal
ypl014w	75	0	Readout_terminal
vtc1	75	0	Readout_terminal
tpo4	75	0	Readout_terminal
prm1	75	0	Readout_terminal
pho8	75	0	Readout_terminal
lys1	75	0	Readout_terminal
igd1	75	0	Readout_terminal
hxt1	75	0	Readout_terminal
fet3	75	0	Readout_terminal
erg3	75	0	Readout_terminal
adh5	75	0	Readout_terminal
yil169c	74	0	Readout_terminal
ybl028c	74	0	Readout_terminal
ufe1	74	0	Readout_terminal
tdh1	74	0	Readout_terminal
shm2	74	0	Readout_terminal
sfg1	74	0	Readout_terminal
rps26b	74	0	Readout_terminal
rpl42a	74	0	Readout_terminal
rdl1	74	0	Readout_terminal
pre5	74	0	Readout_terminal
pir1	74	0	Readout_terminal
atg33	74	0	Readout_terminal
ypk2	73	0	Readout_terminal
ynl337w	73	0	Readout_terminal
sim1	73	0	Readout_terminal
rps29b	73	0	Readout_terminal
rps22b	73	0	Readout_terminal
rad23	73	0	Readout_terminal
pau4	73	0	Readout_terminal
icy1	73	0	Readout_terminal
hor2	73	0	Readout_terminal
his3	73	0	Readout_terminal
gly1	73	0	Readout_terminal
fit3	73	0	Readout_terminal
cup1-2	73	0	Readout_terminal
cln2	73	0	Readout_terminal
cit1	73	0	Readout_terminal
atf1	73	0	Readout_terminal
ald4	73	0	Readout_terminal
ydr209c	72	0	Readout_terminal
vtc3	72	0	Readout_terminal
scw10	72	0	Readout_terminal
rnr4	72	0	Readout_terminal
pyk2	72	0	Readout_terminal
mrpl4	72	0	Readout_terminal
hxt7	72	0	Readout_terminal
hxt3	72	0	Readout_terminal
hxt11	72	0	Readout_terminal
fui1	72	0	Readout_terminal
ftr1	72	0	Readout_terminal
erg8	72	0	Readout_terminal
enb1	72	0	Readout_terminal
ctt1	72	0	Readout_terminal
cox7	72	0	Readout_terminal
ald3	72	0	Readout_terminal
zwf1	71	0	Readout_terminal
yor225w	71	0	Readout_terminal
rpp0	71	0	Readout_terminal
rpl43b	71	0	Readout_terminal
rpl22b	71	0	Readout_terminal
irc15	71	0	Readout_terminal
ccw12	71	0	Readout_terminal
ade17	71	0	Readout_terminal
yrf1-3	70	0	Readout_terminal
yol019w	70	0	Readout_terminal
suc2	70	0	Readout_terminal
rps28b	70	0	Readout_terminal
rpl35a	70	0	Readout_terminal
qcr6	70	0	Readout_terminal
pst1	70	0	Readout_terminal
pgk1	70	0	Readout_terminal
fes1	70	0	Readout_terminal
dse2	70	0	Readout_terminal
bna1	70	0	Readout_terminal
adh3	70	0	Readout_terminal
ade1	70	0	Readout_terminal
yor248w	69	0	Readout_terminal
ylr194c	69	0	Readout_terminal
ykl177w	69	0	Readout_terminal
yer152c	69	0	Readout_terminal
yer138w-a	69	0	Readout_terminal
yar068w	69	0	Readout_terminal
sit1	69	0	Readout_terminal
rps30a	69	0	Readout_terminal
rpl37a	69	0	Readout_terminal
rpl34b	69	0	Readout_terminal
rix7	69	0	Readout_terminal
nce103	69	0	Readout_terminal
lys21	69	0	Readout_terminal
isf1	69	0	Readout_terminal
gcv1	69	0	Readout_terminal
fre3	69	0	Readout_terminal
egt2	69	0	Readout_terminal
cos8	69	0	Readout_terminal
ape1	69	0	Readout_terminal
yrf1-4	68	0	Readout_terminal
ynr071c	68	0	Readout_terminal
ynl338w	68	0	Readout_terminal
yml131w	68	0	Readout_terminal
ylr374c	68	0	Readout_terminal
ylr294c	68	0	Readout_terminal
ubp7	68	0	Readout_terminal
tif34	68	0	Readout_terminal
sis1	68	0	Readout_terminal
rpp1a	68	0	Readout_terminal
rpl29	68	0	Readout_terminal
rpl14b	68	0	Readout_terminal
pxr1	68	0	Readout_terminal
pdc1	68	0	Readout_terminal
oye2	68	0	Readout_terminal
msc1	68	0	Readout_terminal
mmf1	68	0	Readout_terminal
met17	68	0	Readout_terminal
hxt6	68	0	Readout_terminal
hxt17	68	0	Readout_terminal
hta2	68	0	Readout_terminal
gln1	68	0	Readout_terminal
fcy2	68	0	Readout_terminal
cox12	68	0	Readout_terminal
aah1	68	0	Readout_terminal
yps3	67	0	Readout_terminal
ydl241w	67	0	Readout_terminal
ybr089w	67	0	Readout_terminal
tir1	67	0	Readout_terminal
tfb2	67	0	Readout_terminal
tdh3	67	0	Readout_terminal
snq2	67	0	Readout_terminal
rtc3	67	0	Readout_terminal
rps21a	67	0	Readout_terminal
rps10b	67	0	Readout_terminal
rpl14a	67	0	Readout_terminal
rfa2	67	0	Readout_terminal
pdr17	67	0	Readout_terminal
pcl2	67	0	Readout_terminal
nma1	67	0	Readout_terminal
ndi1	67	0	Readout_terminal
kre6	67	0	Readout_terminal
ipt1	67	0	Readout_terminal
hta1	67	0	Readout_terminal
gpd1	67	0	Readout_terminal
cyt1	67	0	Readout_terminal
csi2	67	0	Readout_terminal
arg7	67	0	Readout_terminal
ylr413w	66	0	Readout_terminal
ylr152c	66	0	Readout_terminal
ykr012c	66	0	Readout_terminal
ycr013c	66	0	Readout_terminal
wsc4	66	0	Readout_terminal
vrg4	66	0	Readout_terminal
sur4	66	0	Readout_terminal
snx3	66	0	Readout_terminal
rps27b	66	0	Readout_terminal
rps10a	66	0	Readout_terminal
rpl41a	66	0	Readout_terminal
rpl3	66	0	Readout_terminal
lac1	66	0	Readout_terminal
hxk1	66	0	Readout_terminal
hht1	66	0	Readout_terminal
cap1	66	0	Readout_terminal
are2	66	0	Readout_terminal
ygr012w	65	0	Readout_terminal
ygl039w	65	0	Readout_terminal
tkl1	65	0	Readout_terminal
thr1	65	0	Readout_terminal
svl3	65	0	Readout_terminal
sam2	65	0	Readout_terminal
rps29a	65	0	Readout_terminal
rps27a	65	0	Readout_terminal
rpl33b	65	0	Readout_terminal
rpl33a	65	0	Readout_terminal
rpl16a	65	0	Readout_terminal
pun1	65	0	Readout_terminal
oye3	65	0	Readout_terminal
lee1	65	0	Readout_terminal
hsp42	65	0	Readout_terminal
hsp150	65	0	Readout_terminal
ggc1	65	0	Readout_terminal
gcv3	65	0	Readout_terminal
erg9	65	0	Readout_terminal
cox8	65	0	Readout_terminal
atr1	65	0	Readout_terminal
atp18	65	0	Readout_terminal
aro10	65	0	Readout_terminal
amn1	65	0	Readout_terminal
yrf1-5	64	0	Readout_terminal
ylr339c	64	0	Readout_terminal
ylr302c	64	0	Readout_terminal
yfl067w	64	0	Readout_terminal
tom7	64	0	Readout_terminal
stp3	64	0	Readout_terminal
ste3	64	0	Readout_terminal
scw4	64	0	Readout_terminal
rps4a	64	0	Readout_terminal
