# This file contains the list of genes (nodes) in the gene regulatory network
# of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
manX	5	0	Readout_terminal
malG	5	0	Readout_terminal
malF	5	0	Readout_terminal
malE	5	0	Readout_terminal
lhgO	5	0	Readout_terminal
ileT	5	0	Readout_terminal
hypA	5	0	Readout_terminal
hyfJ	5	0	Readout_terminal
hyfI	5	0	Readout_terminal
hyfH	5	0	Readout_terminal
hyfG	5	0	Readout_terminal
hyfF	5	0	Readout_terminal
hyfE	5	0	Readout_terminal
hyfD	5	0	Readout_terminal
hyfC	5	0	Readout_terminal
hyfB	5	0	Readout_terminal
hyfA	5	0	Readout_terminal
htrE	5	0	Readout_terminal
hmp	5	0	Readout_terminal
hlyE	5	0	Readout_terminal
hisQ	5	0	Readout_terminal
hisP	5	0	Readout_terminal
hisM	5	0	Readout_terminal
hisJ	5	0	Readout_terminal
hemA	5	0	Readout_terminal
gutQ	5	0	Readout_terminal
guaB	5	0	Readout_terminal
guaA	5	0	Readout_terminal
gntU	5	0	Readout_terminal
gltV	5	0	Readout_terminal
gltA	5	0	Readout_terminal
glnL	5	0	Readout_terminal
glnK	5	0	Readout_terminal
glnA	5	0	Readout_terminal
glmY	5	0	Readout_terminal
glgC	5	0	Readout_terminal
glgA	5	0	Readout_terminal
gatZ	5	0	Readout_terminal
gatY	5	0	Readout_terminal
gatD	5	0	Readout_terminal
gatC	5	0	Readout_terminal
gatB	5	0	Readout_terminal
gatA	5	0	Readout_terminal
garR	5	0	Readout_terminal
garP	5	0	Readout_terminal
garL	5	0	Readout_terminal
garK	5	0	Readout_terminal
gapA	5	0	Readout_terminal
galP	5	0	Readout_terminal
ftsQ	5	0	Readout_terminal
frdC	5	0	Readout_terminal
frdB	5	0	Readout_terminal
frdA	5	0	Readout_terminal
focB	5	0	Readout_terminal
fliK	5	0	Readout_terminal
fliJ	5	0	Readout_terminal
fliI	5	0	Readout_terminal
fliH	5	0	Readout_terminal
fliG	5	0	Readout_terminal
fliF	5	0	Readout_terminal
fliE	5	0	Readout_terminal
flgN	5	0	Readout_terminal
fimI	5	0	Readout_terminal
fimH	5	0	Readout_terminal
fimG	5	0	Readout_terminal
fimF	5	0	Readout_terminal
fimD	5	0	Readout_terminal
fimC	5	0	Readout_terminal
fimA	5	0	Readout_terminal
fecD	5	0	Readout_terminal
fecC	5	0	Readout_terminal
fecB	5	0	Readout_terminal
fecA	5	0	Readout_terminal
fdhF	5	0	Readout_terminal
eda	5	0	Readout_terminal
dcuD	5	0	Readout_terminal
cysH	5	0	Readout_terminal
cydC	5	0	Readout_terminal
csiD	5	0	Readout_terminal
csgC	5	0	Readout_terminal
csgB	5	0	Readout_terminal
csgA	5	0	Readout_terminal
crr	5	0	Readout_terminal
citX	5	0	Readout_terminal
citG	5	0	Readout_terminal
citF	5	0	Readout_terminal
citE	5	0	Readout_terminal
citD	5	0	Readout_terminal
citC	5	0	Readout_terminal
chbG	5	0	Readout_terminal
betA	5	0	Readout_terminal
astD	5	0	Readout_terminal
astC	5	0	Readout_terminal
astB	5	0	Readout_terminal
astA	5	0	Readout_terminal
asr	5	0	Readout_terminal
araH	5	0	Readout_terminal
amtB	5	0	Readout_terminal
aldA	5	0	Readout_terminal
alaT	5	0	Readout_terminal
adiA	5	0	Readout_terminal
acrD	5	0	Readout_terminal
acnB	5	0	Readout_terminal
zinT	4	0	Readout_terminal
ytfE	4	0	Readout_terminal
ynfK	4	0	Readout_terminal
ynfH	4	0	Readout_terminal
ynfG	4	0	Readout_terminal
